"COM";"Région";"Commune";"PTOT";"Médecin généraliste";"Masseur kinésithérapeute";"Pédicure-podologue";"Diététicien";"LIBGEO";"Boulodrome";"Tennis";"Athlétisme";"Plateaux et terrains de jeux extérieurs";"Salles spécialisées";"Terrains de grands jeux";"Salles de combat";"Salles de remise en forme";"Salles multisports (gymnase)"
"42184";"Auvergne-Rhône-Alpes";"Riorges";"11261";"4";"15";"2";"0";"Riorges";"1";"1";"1";"1";"1";"1";"1";"1";"2"
"42186";"Auvergne-Rhône-Alpes";"Rive-de-Gier";"15348";"16";"13";"5";"2";"Rive-de-Gier";"3";"1";"2";"2";"4";"2";"2";"2";"5"
"42279";"Auvergne-Rhône-Alpes";"Saint-Just-Saint-Rambert";"15664";"19";"31";"6";"1";"Saint-Just-Saint-Rambert";"7";"1";"1";"1";"2";"3";"3";"1";"3"
"43157";"Auvergne-Rhône-Alpes";"Le Puy-en-Velay";"19439";"21";"30";"12";"3";"Le Puy-en-Velay";"2";"0";"1";"3";"2";"4";"2";"4";"3"
"44003";"Pays de la Loire";"Ancenis-Saint-Géréon";"11488";"14";"19";"3";"3";"Ancenis-Saint-Géréon";"5";"3";"2";"3";"7";"5";"2";"2";"5"
"44015";"Pays de la Loire";"Blain";"10360";"13";"8";"5";"1";"Blain";"3";"1";"2";"2";"2";"3";"1";"2";"2"
"44036";"Pays de la Loire";"Châteaubriant";"12629";"10";"15";"6";"4";"Châteaubriant";"7";"2";"1";"9";"3";"6";"3";"1";"4"
"44055";"Pays de la Loire";"La Baule-Escoublac";"17034";"16";"23";"7";"3";"La Baule-Escoublac";"4";"3";"3";"4";"2";"3";"1";"6";"4"
"44069";"Pays de la Loire";"Guérande";"16733";"23";"27";"6";"2";"Guérande";"2";"2";"0";"3";"3";"2";"1";"3";"3"
"44129";"Pays de la Loire";"Pontchâteau";"11358";"7";"5";"3";"4";"Pontchâteau";"1";"1";"1";"4";"1";"5";"1";"2";"4"
"44131";"Pays de la Loire";"Pornic";"18355";"26";"30";"5";"1";"Pornic";"2";"3";"1";"1";"2";"3";"1";"3";"3"
"44132";"Pays de la Loire";"Pornichet";"12430";"16";"21";"7";"2";"Pornichet";"2";"1";"1";"3";"2";"2";"1";"3";"2"
"44154";"Pays de la Loire";"Saint-Brevin-les-Pins";"14774";"12";"11";"6";"1";"Saint-Brevin-les-Pins";"4";"1";"1";"2";"3";"1";"2";"4";"3"
"44172";"Pays de la Loire";"Sainte-Luce-sur-Loire";"15784";"13";"20";"4";"1";"Sainte-Luce-sur-Loire";"1";"1";"1";"0";"2";"2";"1";"1";"3"
"44204";"Pays de la Loire";"Thouaré-sur-Loire";"10954";"14";"10";"3";"0";"Thouaré-sur-Loire";"2";"1";"1";"1";"3";"1";"1";"0";"2"
"44209";"Pays de la Loire";"Treillières";"10490";"5";"9";"2";"3";"Treillières";"1";"0";"1";"1";"0";"2";"1";"0";"3"
"45004";"Centre-Val de Loire";"Amilly";"13835";"9";"5";"2";"0";"Amilly";"3";"2";"2";"4";"3";"2";"2";"1";"5"
"45068";"Centre-Val de Loire";"Châlette-sur-Loing";"12954";"1";"7";"0";"0";"Châlette-sur-Loing";"2";"1";"0";"8";"2";"6";"1";"2";"1"
"45075";"Centre-Val de Loire";"La Chapelle-Saint-Mesmin";"10414";"4";"11";"4";"0";"La Chapelle-Saint-Mesmin";"2";"1";"2";"2";"1";"2";"1";"1";"2"
"45155";"Centre-Val de Loire";"Gien";"13785";"13";"12";"4";"1";"Gien";"1";"2";"1";"5";"3";"4";"3";"4";"6"
"45208";"Centre-Val de Loire";"Montargis";"15500";"22";"12";"7";"6";"Montargis";"2";"1";"2";"6";"3";"4";"2";"3";"3"
"45285";"Centre-Val de Loire";"Saint-Jean-de-la-Ruelle";"16840";"15";"13";"4";"2";"Saint-Jean-de-la-Ruelle";"1";"1";"0";"2";"4";"5";"2";"1";"2"
"45302";"Centre-Val de Loire";"Saran";"16888";"19";"25";"2";"1";"Saran";"1";"2";"1";"4";"3";"4";"1";"1";"4"
"46102";"Occitanie";"Figeac";"10364";"21";"24";"5";"4";"Figeac";"1";"2";"1";"1";"4";"2";"1";"1";"3"
"47157";"Nouvelle-Aquitaine";"Marmande";"17741";"19";"20";"10";"3";"Marmande";"4";"4";"3";"5";"1";"5";"2";"4";"7"
"48095";"Occitanie";"Mende";"13087";"14";"17";"4";"3";"Mende";"2";"1";"2";"1";"5";"4";"1";"3";"7"
"49015";"Pays de la Loire";"Avrillé";"15330";"18";"18";"8";"1";"Avrillé";"6";"1";"1";"12";"3";"5";"1";"2";"2"
"49018";"Pays de la Loire";"Baugé-en-Anjou";"11997";"11";"10";"4";"0";"Baugé-en-Anjou";"32";"4";"1";"6";"2";"9";"1";"0";"3"
"49050";"Pays de la Loire";"Brissac Loire Aubance";"11175";"9";"16";"2";"1";"Brissac Loire Aubance";"13";"2";"0";"7";"2";"5";"1";"0";"5"
"49069";"Pays de la Loire";"Orée d'Anjou";"17020";"9";"10";"4";"2";"Orée d'Anjou";"15";"4";"1";"5";"1";"8";"2";"1";"9"
"49125";"Pays de la Loire";"Doué-en-Anjou";"11467";"10";"10";"7";"1";"Doué-en-Anjou";"5";"1";"1";"5";"0";"3";"1";"4";"4"
"49218";"Pays de la Loire";"Montrevault-sur-Èvre";"16055";"6";"9";"4";"0";"Montrevault-sur-Èvre";"17";"5";"1";"7";"4";"8";"2";"0";"8"
"49244";"Pays de la Loire";"Mauges-sur-Loire";"18824";"16";"15";"5";"1";"Mauges-sur-Loire";"15";"9";"3";"16";"4";"15";"0";"2";"9"
"49246";"Pays de la Loire";"Les Ponts-de-Cé";"13271";"15";"17";"5";"1";"Les Ponts-de-Cé";"10";"5";"3";"6";"3";"9";"3";"1";"4"
"49307";"Pays de la Loire";"Loire-Authion";"16992";"12";"13";"2";"3";"Loire-Authion";"24";"7";"0";"10";"5";"8";"2";"0";"6"
"49331";"Pays de la Loire";"Segré-en-Anjou Bleu";"18496";"18";"5";"4";"3";"Segré-en-Anjou Bleu";"14";"4";"2";"22";"6";"13";"2";"0";"6"
"49353";"Pays de la Loire";"Trélazé";"15544";"25";"35";"1";"3";"Trélazé";"5";"0";"1";"5";"4";"2";"2";"1";"3"
"50025";"Normandie";"Avranches";"10748";"20";"18";"5";"3";"Avranches";"6";"1";"3";"8";"3";"4";"0";"1";"6"
"50041";"Normandie";"La Hague";"11518";"4";"9";"2";"0";"La Hague";"0";"8";"1";"10";"3";"10";"1";"1";"7"
"50099";"Normandie";"Carentan-les-Marais";"10376";"9";"7";"3";"1";"Carentan-les-Marais";"5";"1";"1";"2";"3";"4";"1";"1";"3"
"50218";"Normandie";"Granville";"13279";"16";"20";"7";"3";"Granville";"2";"1";"1";"4";"3";"3";"2";"2";"5"
"51573";"Grand Est";"Tinqueux";"10682";"13";"8";"2";"0";"Tinqueux";"4";"3";"1";"0";"1";"5";"1";"2";"4"
"51649";"Grand Est";"Vitry-le-François";"11662";"18";"15";"6";"1";"Vitry-le-François";"2";"1";"3";"7";"4";"6";"1";"3";"5"
"53062";"Pays de la Loire";"Château-Gontier-sur-Mayenne";"17370";"17";"15";"5";"2";"Château-Gontier-sur-Mayenne";"8";"3";"2";"4";"3";"6";"2";"1";"4"
"53147";"Pays de la Loire";"Mayenne";"13577";"9";"14";"6";"3";"Mayenne";"2";"4";"2";"10";"5";"5";"3";"2";"4"
"54304";"Grand Est";"Laxou";"14854";"22";"24";"0";"2";"Laxou";"2";"2";"1";"6";"2";"3";"1";"3";"6"
"54323";"Grand Est";"Longwy";"15417";"16";"15";"6";"0";"Longwy";"0";"2";"1";"7";"2";"2";"2";"2";"3"
"54329";"Grand Est";"Lunéville";"18051";"30";"22";"5";"1";"Lunéville";"2";"1";"4";"7";"5";"6";"2";"3";"7"
"54357";"Grand Est";"Maxéville";"10037";"12";"14";"1";"0";"Maxéville";"0";"2";"0";"4";"2";"4";"2";"3";"2"
"54431";"Grand Est";"Pont-à-Mousson";"14548";"21";"19";"6";"1";"Pont-à-Mousson";"2";"1";"1";"10";"4";"3";"2";"4";"3"
"54482";"Grand Est";"Saint-Max";"10159";"15";"17";"5";"0";"Saint-Max";"1";"1";"0";"2";"0";"1";"2";"0";"1"
"54528";"Grand Est";"Toul";"16061";"21";"21";"8";"2";"Toul";"2";"1";"5";"7";"3";"6";"3";"4";"8"
"54578";"Grand Est";"Villers-lès-Nancy";"15086";"12";"21";"2";"1";"Villers-lès-Nancy";"1";"3";"2";"7";"4";"3";"2";"1";"9"
"54580";"Grand Est";"Villerupt";"10158";"6";"4";"2";"0";"Villerupt";"1";"2";"0";"0";"1";"2";"1";"1";"3"
"55029";"Grand Est";"Bar-le-Duc";"15232";"14";"14";"4";"1";"Bar-le-Duc";"4";"1";"2";"7";"3";"5";"1";"4";"9"
"55545";"Grand Est";"Verdun";"17658";"7";"14";"4";"1";"Verdun";"1";"1";"1";"8";"2";"6";"3";"2";"5"
"56007";"Bretagne";"Auray";"14591";"30";"47";"9";"3";"Auray";"1";"1";"1";"6";"3";"6";"1";"5";"3"
"56078";"Bretagne";"Guidel";"12253";"10";"18";"2";"1";"Guidel";"2";"3";"1";"3";"0";"4";"1";"0";"2"
"56083";"Bretagne";"Hennebont";"16196";"12";"21";"5";"2";"Hennebont";"0";"1";"2";"8";"6";"6";"1";"0";"5"
"56162";"Bretagne";"Ploemeur";"19228";"20";"31";"5";"3";"Ploemeur";"2";"2";"1";"2";"2";"6";"1";"3";"7"
"56165";"Bretagne";"Ploërmel";"10416";"14";"10";"5";"0";"Ploërmel";"4";"2";"1";"2";"3";"5";"1";"3";"3"
"56178";"Bretagne";"Pontivy";"15630";"9";"13";"8";"4";"Pontivy";"3";"1";"2";"4";"4";"6";"4";"6";"4"
"56206";"Bretagne";"Saint-Avé";"12214";"11";"13";"3";"0";"Saint-Avé";"1";"1";"1";"2";"1";"2";"1";"6";"2"
"57019";"Grand Est";"Amnéville";"10908";"17";"11";"2";"1";"Amnéville";"2";"1";"1";"1";"5";"3";"2";"2";"1"
"57160";"Grand Est";"Creutzwald";"12704";"8";"11";"1";"1";"Creutzwald";"4";"1";"0";"9";"1";"8";"1";"2";"5"
"57206";"Grand Est";"Fameck";"14965";"10";"7";"2";"0";"Fameck";"5";"1";"1";"6";"1";"9";"1";"1";"6"
